"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"Munna Bhai M.B.B.S.","https://www.imdb.com/title/tt0374887/?ref_=adv_li_tt","","Comedy, Drama, Musical","","8.2"
"Batman Begins","https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt","$206.85M","Action, Adventure","70 Metascore","8.2"
"Swades","https://www.imdb.com/title/tt0367110/?ref_=adv_li_tt","$1.22M","Drama","","8.2"
"Downfall","https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt","$5.51M","Biography, Drama, History","82 Metascore","8.2"
"Howl's Moving Castle","https://www.imdb.com/title/tt0347149/?ref_=adv_li_tt","$4.71M","Animation, Adventure, Family","80 Metascore","8.2"
"A Beautiful Mind","https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt","$170.74M","Biography, Drama","72 Metascore","8.2"
"Hera Pheri","https://www.imdb.com/title/tt0242519/?ref_=adv_li_tt","","Action, Comedy, Crime","","8.2"
"Lock, Stock and Two Smoking Barrels","https://www.imdb.com/title/tt0120735/?ref_=adv_li_tt","$3.90M","Comedy, Crime","66 Metascore","8.2"
"L.A. Confidential","https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt","$64.62M","Crime, Drama, Mystery","90 Metascore","8.2"
"Heat","https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt","$67.44M","Crime, Drama, Thriller","76 Metascore","8.2"
"Casino","https://www.imdb.com/title/tt0112641/?ref_=adv_li_tt","$42.44M","Crime, Drama","73 Metascore","8.2"
"Unforgiven","https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt","$101.16M","Drama, Western","85 Metascore","8.2"
"Indiana Jones and the Last Crusade","https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt","$197.17M","Action, Adventure","65 Metascore","8.2"
"My Neighbor Totoro","https://www.imdb.com/title/tt0096283/?ref_=adv_li_tt","$1.11M","Animation, Family, Fantasy","86 Metascore","8.2"
"Die Hard","https://www.imdb.com/title/tt0095016/?ref_=adv_li_tt","$83.01M","Action, Thriller","72 Metascore","8.2"
"Ran","https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt","$3.52M","Action, Drama","96 Metascore","8.2"
"Raging Bull","https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt","$23.38M","Biography, Drama, Sport","89 Metascore","8.2"
"Stalker","https://www.imdb.com/title/tt0079944/?ref_=adv_li_tt","$0.23M","Drama, Sci-Fi","","8.2"
"Monty Python and the Holy Grail","https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt","$1.23M","Adventure, Comedy, Fantasy","93 Metascore","8.2"
"Chinatown","https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt","$29.20M","Drama, Mystery, Thriller","92 Metascore","8.2"
"Andrei Rublev","https://www.imdb.com/title/tt0060107/?ref_=adv_li_tt","$0.10M","Biography, Drama, History","","8.2"
"The Great Escape","https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt","$12.10M","Adventure, Drama, History","87 Metascore","8.2"
"The Exterminating Angel","https://www.imdb.com/title/tt0056732/?ref_=adv_li_tt","","Drama, Fantasy","","8.2"
"Yojimbo","https://www.imdb.com/title/tt0055630/?ref_=adv_li_tt","","Action, Comedy, Crime","","8.2"
"Judgment at Nuremberg","https://www.imdb.com/title/tt0055031/?ref_=adv_li_tt","","Drama, War","60 Metascore","8.2"
"Some Like It Hot","https://www.imdb.com/title/tt0053291/?ref_=adv_li_tt","$25.00M","Comedy, Music, Romance","97 Metascore","8.2"
"Wild Strawberries","https://www.imdb.com/title/tt0050986/?ref_=adv_li_tt","","Drama, Romance","","8.2"
"The Seventh Seal","https://www.imdb.com/title/tt0050976/?ref_=adv_li_tt","","Drama, Fantasy","","8.2"
"Dial M for Murder","https://www.imdb.com/title/tt0046912/?ref_=adv_li_tt","$0.01M","Crime, Thriller","75 Metascore","8.2"
"Tokyo Story","https://www.imdb.com/title/tt0046438/?ref_=adv_li_tt","","Drama","","8.2"
"Ace in the Hole","https://www.imdb.com/title/tt0043338/?ref_=adv_li_tt","$3.97M","Drama, Film-Noir","72 Metascore","8.2"
"Rashomon","https://www.imdb.com/title/tt0042876/?ref_=adv_li_tt","$0.10M","Crime, Drama, Mystery","98 Metascore","8.2"
"All About Eve","https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt","$0.01M","Drama","98 Metascore","8.2"
